公司名稱,簡介,電話,住址
乾杯股份有限公司,【乾杯集團─社長的話】『乾杯是台灣餐飲業的奇蹟』一位餐飲業的前輩這麼對我說。1999年6月一名日本留學生所開的小小燒肉店，在五年間成為了台灣最有名的純正日式燒肉餐廳。「這是怎麼辦到的？ ...,(02)33222627,台北市中正區忠孝東路二段88號11樓1102室
新竹日式便當–十六區壽司和風料理,日式便當及各類日本料理是新竹十六區壽司和風料理主要拿手的日式料理餐點，目前店面位在新竹市的光復路上(清大、交大附近)、以及竹北市，為提供喜愛日本料理的您更多選擇，日式便當及壽司皆有素 ...,(03)5735635,新竹市光復路二段410號(清大、交大附近新竹日式便當)
立大食品,"高雄肉品加工│肉類食品加工│冷凍肉品批發

立大食品為高雄專業肉品、肉類食品加工及冷凍肉品批發。

高雄立大設立於民國58年7月，為飼料製造工廠及從事肉品、肉類食品加工，民國65年5月建 ...",(07)6979066,高雄市路竹區中山南路47號
魔術食品工業股份有限公司,"-魔術食品工業股份有限公司
服務專線0800-258-789
魔術食品各類食品原料有：
● 漢堡肉排系列(調味漢堡肉排、日式炸豬排、和風炸雞排)
● 冷凍肉品熟食系列(雞塊、雞翅,雞肉丸子,濃湯等)
 ...",(02)26890108,新北市樹林區光興街61號
美食家食材通路股份有限公司(調味料批發商),美食家食材通路股份有限公司（簡稱美食家）創立於西元2000年，係由羅智先董事長所領導的股票上市公司－大統益公司轉投資設立，總公司設立於台南市，為國內第一家有系統、有計劃地投入餐飲食材批 ...,(06)2935936,台南市安平區永華路二段373號
高雄飲料店加盟｜吳家紅茶冰,高雄飲料店加盟高雄飲料店加盟｜台南古早味飲料店｜高雄古早味紅茶｜古早味紅茶加盟高雄飲料店加盟｜吳家紅茶冰古早味紅茶冰堪稱經典，吳家紅茶冰堅持給顧客最經典的味道。以台南、高雄、屏東等 ...,(07)7872339,高雄市大寮區三隆路601巷68之8號
躉泰食品有限公司,躉泰食品有限公司－泰樂食品行，早期以生產傳統糕餅為主。店裡的各項西點麵包，以「現烤現賣」、「新鮮美味」兩大特色建立了良好口碑！創辦人張先生自幼生長在大甲鎮，從小就十分喜愛奶油酥餅。 ...,(04)26817913,台中市大甲區通天路225號
金龍彩食品股份有限公司,高雄在地老餅舖~金龍彩，創店至今已逾40年。本公司產品，涵蓋中西式各類糕點，有彌月蛋糕、生日蛋糕、中式糕點、麵包、喜餅以及各式伴手禮，所有產品均為純手工製作，強調天然、低糖、植物油且 ...,(07)2618185,高雄市前金區中正四路83號之1
寶泉食品-豐原店,"成立時間：西元1908年 

經營據點：總部設於台中縣潭子鄉 

國內門市：共11個、豐原中正路上、台中市自由路上、台中市精誠路上

經營理念：
寶泉食品以近百年的製餅技藝，不僅傳承道地台 ...",(04)25223077,台中市豐原區中正路154號
圓山大飯店,圓山大飯店創立於民國41年（西元1952年），十四層宮殿式大樓，巍峨高聳於圓山之腰，前臨基隆河、後倚陽明山東望松山、西眺淡水。飯店紅柱金瓦氣勢宏偉的外觀，襯托富麗堂皇的古典氣氛，傳達了中 ...,(02)28861818,台北市中山區中山北路四段1巷1號
【經典肉鬆】唯豐肉鬆,經典肉鬆｜台北名產伴手禮｜宅配美食【經典肉鬆】唯豐肉鬆，帶給你傳統的美味，幸福的滋味。經典肉鬆是我們傳承40年的美味，近年來我們也是台北名產伴手禮推薦、宅配美食首選，傳統的經典肉鬆， ...,(02)27773696,台北市大安區忠孝東路四段223巷24號
西湖渡假村,"西湖渡假村│西湖渡假村活動｜西湖渡假村門票｜西湖渡假村交通│

 西湖渡假村位於苗栗縣三義鄉西湖村(中山高三義交流道旁)，成立於1989年，由中部建築業先進陳英聲先生創辦，在園區旁有一座 ...",(037)8746-56,苗栗縣三義鄉西湖村西湖11號
